          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
     6.74617	   0.0206934	  1.0000e+00	  6.7462e+00	  1.3142e-03	  1.3146e-04	  4.2140e-03	  1.9014e-03	  2.3973e-05	  1.1085e-02	  1.1438e-03	  1.6443e-04	  6.7994e-04	  2.5540e+03	  2.4584e-01	  6.0814e-01	  8.2738e-01	  9.9606e-01	  4.4998e+00	  1.7781e+01	  1.0964e-04	  7.1221e-03	  4.9288e-01	  5.2412e-02	  5.2412e-02	  1.6271e-01	  2.3217e+01	  0.0000e+00	  0.0000e+00	  9.3425e-04	  1.4766e-03	
     6.72003	   0.0356078	  2.0000e+00	  6.7200e+00	  2.6898e-03	  1.8103e-04	  7.2396e-03	  3.3035e-03	  1.5971e-05	  1.9913e-02	  2.0234e-03	  2.0963e-04	  1.1503e-03	  4.3338e+03	  1.8142e-01	  4.7900e-01	  7.4175e-01	  9.9012e-01	  4.3042e+00	  1.7888e+01	  1.5203e-04	  7.1173e-03	  5.0040e-01	  5.2841e-02	  5.2841e-02	  2.4264e-01	  2.3137e+01	  0.0000e+00	  0.0000e+00	  9.6101e-04	  1.4697e-03	
     6.71185	   0.0492145	  3.0000e+00	  6.7118e+00	  4.2339e-03	  2.2396e-04	  9.9375e-03	  4.5706e-03	  1.2561e-05	  2.8089e-02	  2.8346e-03	  2.4152e-04	  1.6019e-03	  5.9123e+03	  1.5016e-01	  4.0333e-01	  6.8011e-01	  9.8310e-01	  4.1207e+00	  1.7992e+01	  1.9458e-04	  7.1958e-03	  4.9806e-01	  5.3272e-02	  5.3272e-02	  3.2339e-01	  2.3057e+01	  0.0000e+00	  0.0000e+00	  9.7482e-04	  1.4649e-03	
     6.70944	   0.0620705	  4.0000e+00	  6.7094e+00	  5.9033e-03	  2.6448e-04	  1.2438e-02	  5.7581e-03	  1.0571e-05	  3.5897e-02	  3.6084e-03	  2.6703e-04	  2.0411e-03	  7.3746e+03	  1.3072e-01	  3.5196e-01	  6.3187e-01	  9.7531e-01	  3.9477e+00	  1.8093e+01	  2.3766e-04	  7.3207e-03	  4.8835e-01	  5.3696e-02	  5.3696e-02	  4.0426e-01	  2.2976e+01	  0.0000e+00	  0.0000e+00	  9.8367e-04	  1.4611e-03	
     6.70957	   0.0744073	  5.0000e+00	  6.7096e+00	  7.6715e-03	  3.0396e-04	  1.4797e-02	  6.8904e-03	  9.2348e-06	  4.3453e-02	  4.3572e-03	  2.8869e-04	  2.4708e-03	  8.7563e+03	  1.1713e-01	  3.1422e-01	  5.9241e-01	  9.6694e-01	  3.7836e+00	  1.8190e+01	  2.8148e-04	  7.4682e-03	  4.7354e-01	  5.4108e-02	  5.4108e-02	  4.8455e-01	  2.2895e+01	  0.0000e+00	  0.0000e+00	  9.8996e-04	  1.4580e-03	
     6.71095	    0.086347	  6.0000e+00	  6.7110e+00	  9.5203e-03	  3.4301e-04	  1.7046e-02	  7.9806e-03	  8.2610e-06	  5.0818e-02	  5.0871e-03	  3.0774e-04	  2.8927e-03	  1.0076e+04	  1.0695e-01	  2.8506e-01	  5.5921e-01	  9.5812e-01	  3.6269e+00	  1.8285e+01	  3.2612e-04	  7.6235e-03	  4.5557e-01	  5.4504e-02	  5.4504e-02	  5.6363e-01	  2.2816e+01	  0.0000e+00	  0.0000e+00	  9.9470e-04	  1.4553e-03	
     6.71302	   0.0979627	  7.0000e+00	  6.7130e+00	  1.1436e-02	  3.8190e-04	  1.9204e-02	  9.0367e-03	  7.5128e-06	  5.8026e-02	  5.8017e-03	  3.2486e-04	  3.3079e-03	  1.1346e+04	  9.8953e-02	  2.6173e-01	  5.3072e-01	  9.4894e-01	  3.4767e+00	  1.8376e+01	  3.7159e-04	  7.7770e-03	  4.3594e-01	  5.4881e-02	  5.4881e-02	  6.4100e-01	  2.2739e+01	  0.0000e+00	  0.0000e+00	  9.9843e-04	  1.4530e-03	
     6.71545	    0.109302	  8.0000e+00	  6.7154e+00	  1.3409e-02	  4.2080e-04	  2.1284e-02	  1.0064e-02	  6.9164e-06	  6.5100e-02	  6.5033e-03	  3.4049e-04	  3.7170e-03	  1.2572e+04	  9.2472e-02	  2.4256e-01	  5.0590e-01	  9.3950e-01	  3.3322e+00	  1.8465e+01	  4.1787e-04	  7.9229e-03	  4.1574e-01	  5.5238e-02	  5.5238e-02	  7.1630e-01	  2.2664e+01	  0.0000e+00	  0.0000e+00	  1.0014e-03	  1.4510e-03	
     6.71806	    0.120399	  9.0000e+00	  6.7181e+00	  1.5431e-02	  4.5978e-04	  2.3295e-02	  1.1067e-02	  6.4277e-06	  7.2057e-02	  7.1934e-03	  3.5494e-04	  4.1204e-03	  1.3762e+04	  8.7083e-02	  2.2650e-01	  4.8402e-01	  9.2986e-01	  3.1928e+00	  1.8550e+01	  4.6489e-04	  8.0575e-03	  3.9575e-01	  5.5575e-02	  5.5575e-02	  7.8928e-01	  2.2591e+01	  0.0000e+00	  0.0000e+00	  1.0039e-03	  1.4491e-03	
     6.70031	    0.131081	  1.0000e+01	  6.7003e+00	  1.7484e-02	  4.9858e-04	  2.5204e-02	  1.2027e-02	  6.5274e-06	  7.8942e-02	  7.8763e-03	  3.6815e-04	  4.2844e-03	  1.4905e+04	  8.2564e-02	  2.1295e-01	  4.6475e-01	  9.2018e-01	  3.0582e+00	  1.8633e+01	  5.1258e-04	  8.1768e-03	  3.7644e-01	  5.5893e-02	  5.5893e-02	  8.5979e-01	  2.2520e+01	  0.0000e+00	  2.2317e-03	  1.0037e-03	  1.4459e-03	
     6.67798	     0.14152	  1.1000e+01	  6.6780e+00	  1.9571e-02	  5.3748e-04	  2.7049e-02	  1.2962e-02	  6.7904e-06	  8.5736e-02	  8.5504e-03	  3.8052e-04	  4.3910e-03	  1.6016e+04	  7.8677e-02	  2.0127e-01	  4.4748e-01	  9.1044e-01	  2.9282e+00	  1.8713e+01	  5.6083e-04	  8.2803e-03	  3.5811e-01	  5.6193e-02	  5.6193e-02	  9.2776e-01	  2.2452e+01	  0.0000e+00	  4.9890e-03	  1.0027e-03	  1.4422e-03	
