          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.0361	  0.00125468	  0.0000e+00	  7.0361e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  9.3397e+01	  7.8466e-01	  9.7624e-01	  9.9160e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.0361	  0.00125468	  0.0000e+00	  7.0361e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  9.3397e+01	  7.8466e-01	  9.7624e-01	  9.9160e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
     6.95903	   0.0136716	  1.0000e+00	  6.9590e+00	  7.0915e-04	  1.0748e-04	  2.6646e-03	  1.2634e-03	  1.1496e-05	  5.4097e-03	  1.5346e-03	  1.3584e-04	  7.3328e-04	  1.8501e+03	  2.9200e-01	  6.8109e-01	  8.6755e-01	  9.9775e-01	  4.5911e+00	  1.5962e+01	  1.7666e+00	  2.8708e-01	  5.8378e-01	  5.2500e-02	  5.2500e-02	  1.8592e-01	  2.3298e+01	  0.0000e+00	  0.0000e+00	  9.3089e-04	  1.3768e-03	
     7.15407	   0.0222954	  2.0000e+00	  7.1541e+00	  1.2657e-03	  1.4491e-04	  4.3867e-03	  2.1293e-03	  3.3543e-06	  9.3032e-03	  2.5125e-03	  1.7125e-04	  1.3069e-03	  2.9807e+03	  2.2554e-01	  5.7115e-01	  8.0496e-01	  9.9484e-01	  4.4743e+00	  1.6022e+01	  1.7659e+00	  1.3998e-01	  6.3299e-01	  5.3058e-02	  5.3058e-02	  3.3926e-01	  2.3145e+01	  0.0000e+00	  0.0000e+00	  1.0038e-03	  1.3746e-03	
     7.30272	   0.0299944	  3.0000e+00	  7.3027e+00	  1.8685e-03	  1.7704e-04	  5.9021e-03	  2.9118e-03	  1.5391e-06	  1.2883e-02	  3.3990e-03	  1.9655e-04	  1.7735e-03	  3.9659e+03	  1.9123e-01	  5.0094e-01	  7.5786e-01	  9.9152e-01	  4.3596e+00	  1.6082e+01	  1.7652e+00	  6.6588e-02	  6.5990e-01	  5.3653e-02	  5.3653e-02	  4.4006e-01	  2.3044e+01	  0.0000e+00	  1.6064e-03	  1.0244e-03	  1.3715e-03	
     7.31035	   0.0365635	  4.0000e+00	  7.3104e+00	  2.4905e-03	  2.0545e-04	  7.1595e-03	  3.5790e-03	  1.2923e-06	  1.6380e-02	  4.2687e-03	  2.1487e-04	  1.5327e-03	  4.8149e+03	  1.7029e-01	  4.5306e-01	  7.2174e-01	  9.8814e-01	  4.2465e+00	  1.6142e+01	  1.7644e+00	  4.3468e-02	  6.7168e-01	  5.4265e-02	  5.4265e-02	  5.0480e-01	  2.2979e+01	  0.0000e+00	  2.0699e-02	  1.0273e-03	  1.3568e-03	
     7.32567	   0.0428677	  5.0000e+00	  7.3257e+00	  3.1461e-03	  2.3329e-04	  8.3543e-03	  4.2228e-03	  1.0954e-06	  1.9755e-02	  5.1047e-03	  2.3078e-04	  1.3373e-03	  5.6191e+03	  1.5496e-01	  4.1551e-01	  6.9073e-01	  9.8451e-01	  4.1351e+00	  1.6200e+01	  1.7636e+00	  3.7541e-02	  6.7809e-01	  5.4886e-02	  5.4886e-02	  5.5686e-01	  2.2927e+01	  0.0000e+00	  3.9156e-02	  1.0296e-03	  1.3454e-03	
     7.34635	   0.0489733	  6.0000e+00	  7.3463e+00	  3.8302e-03	  2.6089e-04	  9.5003e-03	  4.8491e-03	  9.3329e-07	  2.3038e-02	  5.9168e-03	  2.4500e-04	  1.1733e-03	  6.3894e+03	  1.4308e-01	  3.8498e-01	  6.6354e-01	  9.8069e-01	  4.0253e+00	  1.6258e+01	  1.7628e+00	  3.5731e-02	  6.8298e-01	  5.5511e-02	  5.5511e-02	  6.0549e-01	  2.2879e+01	  0.0000e+00	  5.7045e-02	  1.0314e-03	  1.3364e-03	
     7.37102	   0.0549193	  7.0000e+00	  7.3710e+00	  4.5386e-03	  2.8841e-04	  1.0606e-02	  5.4615e-03	  7.9761e-07	  2.6248e-02	  6.7102e-03	  2.5794e-04	  1.0329e-03	  7.1323e+03	  1.3352e-01	  3.5954e-01	  6.3936e-01	  9.7668e-01	  3.9172e+00	  1.6314e+01	  1.7620e+00	  3.4805e-02	  6.8730e-01	  5.6140e-02	  5.6140e-02	  6.5297e-01	  2.2831e+01	  0.0000e+00	  7.4410e-02	  1.0330e-03	  1.3289e-03	
     7.39878	   0.0607309	  8.0000e+00	  7.3988e+00	  5.2681e-03	  3.1595e-04	  1.1678e-02	  6.0622e-03	  6.8313e-07	  2.9397e-02	  7.4884e-03	  2.6987e-04	  9.1153e-04	  7.8521e+03	  1.2561e-01	  3.3792e-01	  6.1763e-01	  9.7252e-01	  3.8107e+00	  1.6370e+01	  1.7613e+00	  3.4073e-02	  6.9125e-01	  5.6773e-02	  5.6773e-02	  6.9977e-01	  2.2784e+01	  0.0000e+00	  9.1287e-02	  1.0343e-03	  1.3228e-03	
