        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7868e-06	  1.4320e-05	  6.6805e-05	  2.0836e-04	  7.8963e+02	  4.3426e-01	  8.3228e-01	  9.3726e-01	  9.9949e-01	  4.5527e+00	  1.5980e+01	  1.7686e+00	  2.6606e-01	  6.2544e-01	  5.2521e-02	  5.2521e-02	  1.7720e-01	  2.3307e+01	  5.4903e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.1408e-06	  0.0000e+00	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8574e-04	  4.5053e-04	  8.4353e-05	  1.5316e-03	  4.7065e-04	  8.4674e-05	  2.0836e-04	  0.0000e+00	  1.3939e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1222e-05	  1.4325e-05	  1.1351e-04	  3.2674e-04	  1.2269e+03	  3.5755e-01	  7.6233e-01	  9.0697e-01	  9.9890e-01	  4.3997e+00	  1.6059e+01	  1.7695e+00	  1.0849e-01	  7.0583e-01	  5.3137e-02	  5.3137e-02	  3.2018e-01	  2.3163e+01	  1.0412e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.7405e-05	  0.0000e+00	  0.0000e+00	  4.7590e-04	  8.0886e-05	  1.5268e-03	  7.0784e-04	  6.3814e-05	  2.5813e-03	  7.6366e-04	  1.0380e-04	  3.2674e-04	  0.0000e+00	  1.3575e-03	
  3.0000e+00	  6.5993e+00	  8.0651e-05	  1.2854e-05	  1.4329e-05	  1.5816e-04	  4.3934e-04	  1.5991e+03	  3.1447e-01	  7.1160e-01	  8.8295e-01	  9.9826e-01	  4.2504e+00	  1.6136e+01	  1.7698e+00	  4.8367e-02	  7.4555e-01	  5.3812e-02	  5.3812e-02	  4.0424e-01	  2.3079e+01	  1.5586e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.3384e-05	  0.0000e+00	  0.0000e+00	  6.3016e-04	  9.4004e-05	  1.9969e-03	  9.3504e-04	  5.2989e-05	  3.5089e-03	  1.0097e-03	  1.1747e-04	  4.3934e-04	  0.0000e+00	  1.3324e-03	
  4.0000e+00	  6.5824e+00	  8.0611e-05	  1.4080e-05	  1.4333e-05	  2.0088e-04	  5.4825e-04	  1.9346e+03	  2.8531e-01	  6.7141e-01	  8.6250e-01	  9.9757e-01	  4.1043e+00	  1.6211e+01	  1.7700e+00	  3.5455e-02	  7.6528e-01	  5.4514e-02	  5.4514e-02	  4.5931e-01	  2.3024e+01	  2.0852e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1565e-04	  0.0000e+00	  0.0000e+00	  7.8741e-04	  1.0541e-04	  2.4245e-03	  1.1442e-03	  4.5768e-05	  4.3660e-03	  1.2314e-03	  1.2838e-04	  5.4825e-04	  0.0000e+00	  1.3133e-03	
  5.0000e+00	  6.5725e+00	  8.0573e-05	  1.5052e-05	  1.4337e-05	  2.4178e-04	  6.5447e-04	  2.2455e+03	  2.6367e-01	  6.3807e-01	  8.4447e-01	  9.9685e-01	  3.9613e+00	  1.6285e+01	  1.7701e+00	  3.2398e-02	  7.8013e-01	  5.5232e-02	  5.5232e-02	  5.0775e-01	  2.2975e+01	  2.6155e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.8450e-04	  0.0000e+00	  0.0000e+00	  9.4817e-04	  1.1581e-04	  2.8227e-03	  1.3408e-03	  4.0421e-05	  5.1750e-03	  1.4376e-03	  1.3758e-04	  6.5447e-04	  0.0000e+00	  1.2980e-03	
  6.0000e+00	  6.5667e+00	  8.0538e-05	  1.5848e-05	  1.4340e-05	  2.8099e-04	  7.5857e-04	  2.5382e+03	  2.4668e-01	  6.0961e-01	  8.2824e-01	  9.9610e-01	  3.8214e+00	  1.6358e+01	  1.7703e+00	  3.0873e-02	  7.9346e-01	  5.5964e-02	  5.5964e-02	  5.5455e-01	  2.2928e+01	  3.1482e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.7035e-04	  0.0000e+00	  0.0000e+00	  1.1123e-03	  1.2554e-04	  3.1986e-03	  1.5280e-03	  3.6229e-05	  5.9479e-03	  1.6328e-03	  1.4560e-04	  7.5857e-04	  0.0000e+00	  1.2853e-03	
  7.0000e+00	  6.5637e+00	  8.0504e-05	  1.6515e-05	  1.4344e-05	  3.1862e-04	  8.6091e-04	  2.8167e+03	  2.3284e-01	  5.8482e-01	  8.1342e-01	  9.9533e-01	  3.6847e+00	  1.6429e+01	  1.7704e+00	  2.9629e-02	  8.0581e-01	  5.6707e-02	  5.6707e-02	  6.0045e-01	  2.2882e+01	  3.6825e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  3.7366e-04	  0.0000e+00	  0.0000e+00	  1.2796e-03	  1.3480e-04	  3.5567e-03	  1.7077e-03	  3.2825e-05	  6.6923e-03	  1.8196e-03	  1.5274e-04	  8.6091e-04	  0.0000e+00	  1.2747e-03	
  8.0000e+00	  6.5626e+00	  8.0471e-05	  1.7084e-05	  1.4347e-05	  3.5481e-04	  9.6174e-04	  3.0836e+03	  2.2125e-01	  5.6290e-01	  7.9974e-01	  9.9453e-01	  3.5511e+00	  1.6498e+01	  1.7706e+00	  2.8491e-02	  8.1726e-01	  5.7462e-02	  5.7462e-02	  6.4557e-01	  2.2837e+01	  4.2180e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.9480e-04	  0.0000e+00	  0.0000e+00	  1.4497e-03	  1.4371e-04	  3.9002e-03	  1.8811e-03	  2.9995e-05	  7.4132e-03	  1.9997e-03	  1.5921e-04	  9.6174e-04	  0.0000e+00	  1.2655e-03	
